id	gid	type	name
1	1	corp	1	corp	100  Black Men of Chaleston, Inc.
2	1	corp	2	corp	100 Black Men of Chaleston
3	2	corp	1020 Art Center, Inc. (Chicago, Ill.)
4	2	corp	1020 Art Center
5	3	corp	1100 Architect (Firm)
6	3	corp	1100 Architects
7	4	corp	1199, National Health and Human Service Employee Union
8	4	corp	1199, National Health and Human Service Employees Union
9	5	corp	124 Hudson St. LLC.
10	5	corp	124 Hudson Street (Project)
11	6	corp	1900 Washer Co. (Toronto, Ont.)
12	6	corp	1900 Washer Company, (Toronto, Ont.)
13	7	corp	20th Century Radicalism in Minnesota Oral History Project
14	7	corp	20th Century  Radicalism in Minnesota Projet
15	8	corp	20th Century-Fox Film Corporation
16	8	corp	20th Century-Fox
17	8	corp	20th Century Fox Studio
18	9	corp	22-Mile Ford Farm (Colfax, Wis.)
19	9	corp	22-Mile Ford Hotel (Colfax, Wis.)
20	10	corp	25th Street House Theatre (Saskatchewan)
21	10	corp	25th Street House Theatre, Saskatoon
22	10	corp	25th Street House Theatre
23	11	corp	2x2 Trombone Quartet (Musical group)
24	11	corp	2x2 Trombone Quartet
25	12	corp	38th Street Church (Minneapolis, Minn.) [active 1896-active 1962]
26	12	corp	38th Street Open Door Congregational Church (Minneapolis, Minn.) [active 1896-active 1962]
27	13	corp	4-H Youth Development Program (U.S.)
28	13	corp	4-H Youth Development Program
29	14	corp	49ers (Musical group)
30	14	corp	49ers
31	15	corp	4EB (Radio station : Brisbane, Qld.)
32	15	corp	4QG (Radio station : Brisbane, Qld.)
33	16	corp	'76 Association (Charleston, S.C.)
34	16	corp	'76 Association
35	17	corp	7:84 Theatre Company England
36	17	corp	7:84 Theatre Company
37	18	corp	80 Langton Street (Gallery)
38	18	corp	80 Langton Street
39	19	corp	92nd Street Y (New York, N.Y.). Health and Physical Education Committee
40	19	corp	92nd Street Y (New York, N.Y.). Health and Physical Education Dept.
41	20	corp	A&M Records (Firm)
42	20	corp	A&M Records Inc.
43	20	corp	A&M Records Ltd.
44	21	fami	A Beckett family
45	21	fami	A Beckett family
46	22	corp	A Space (Art gallery)
47	22	corp	A Space Gallery (Brooklyn, New York, N.Y.)
48	23	corp	A'Beckett, T.T.
49	23	corp	A'Becektt, T.T., 1808-1892
50	24	corp	A. & A. Lawrence & Co.
51	24	corp	A. & A. Lawrence Co.
52	24	corp	A. & A. Lawrence
53	25	corp	A. & H. Blackmore
54	25	corp	A. & H. Blackmore, Dramatic Agents & Co.
55	26	corp	A. & W. Sprague Manufacturing Co.
56	26	corp	A. & W. Sprague Manufacturing Company
57	27	corp	A. Asher & Co.
58	27	corp	A. Asher and Co.
59	27	corp	A. Asher and Company
60	28	corp	A.B. See Electric Elevator Company
61	28	corp	A.B. See Elevator Co.
62	29	corp	A. Booth & Company (Chicago, Ill.)
63	29	corp	A. Booth & Son (Chicago, Ill.)
64	30	corp	A. Brouseau & Co.
65	30	corp	A. Brouseau & Co. (New Orleans, La.)
66	31	corp	A. Denham & Co.
67	31	corp	A. Denham & Company
68	31	corp	A. Denham and Co.
69	32	corp	A. Dirksen and Son (Springfield, Ill.)
70	32	corp	A. Dirksen and Sons (Springfield, Ill.)
71	33	corp	A. Grant, Jr. & Co.
72	33	corp	A. Grant, Jr. & Co. (Newark, N.J.)
73	34	corp	A. Hann & Son (Bridgeton, N.J.)
74	34	corp	A. Hann & Son
75	35	corp	A. Hess & Company
76	35	corp	A. Hess
77	36	corp	A.J. Johnson Co.
78	36	corp	A.J. Johnson Company
79	37	corp	A. Klipstein & Company
80	37	corp	A. Klipstein and Company
81	38	corp	A. Kuhlman & Co.
82	38	corp	A. Kuhlman Co.
83	39	corp	A. Lietz Co.
84	39	corp	A. Lietz Company
85	40	corp	A. Montgomery Ward and Co. (Chicago, Ill.)
86	40	corp	A. Montgomery Ward and Company (Chicago, Ill.)
87	41	corp	A.P. Watt & Sons
88	41	corp	A.P. Watt and Son
89	42	corp	A. Pardee & Company
90	42	corp	A. Pardee & Company
91	43	corp	A. Phillip Randolph Institute
92	43	corp	A. Phillip Randolph Institute
93	44	corp	A. Rosseter (Ship)
94	44	corp	A. Rossetter (Ship)
95	45	corp	A.S. Field (Ship)
96	45	corp	A.S. Fields (Ship)
97	46	corp	A. Shuman & Co.
98	46	corp	A. Shumman & Co.
